"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT07","WT08"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-21","2.91",,"0.00","0.0","0.0",,"94","62","  230","  230","10.1","13.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-22","4.70",,"0.00","0.0","0.0",,"94","65","  250","  240","17.0","23.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-23","5.37",,"0.00","0.0","0.0",,"85","66","  240","  240","19.9","25.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-24","5.14",,"0.00","0.0","0.0",,"86","59","  230","  240","15.0","19.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-25","12.53",,"0.00","0.0","0.0",,"78","66","  230","  230","29.1","40.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-26","5.37",,"0.00","0.0","0.0",,"75","56","  240","  240","15.0","21.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-27","4.47",,"0.00","0.0","0.0",,"81","55","  240","  230","17.0","25.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-28","6.04",,"0.00","0.0","0.0",,"73","61","  230","  220","19.9","27.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-29","5.82",,"0.00","0.0","0.0",,"79","63","  230","  230","17.0","21.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-30","6.49",,"0.07","0.0","0.0",,"80","59","  250","  250","23.9","33.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-01","3.58",,"0.00","0.0","0.0",,"78","55","  170","  100","12.1","17.0",,,,,
